fromNode	toNode	weight	direction	fromAltName	toAltName
HAMP	RSPO3	0.119415884855472	undirected	HAMP	RSPO3
MT1F	MT1H	0.142814396653062	undirected	MT1F	MT1H
MT1F	MT1M	0.245198810140993	undirected	MT1F	MT1M
MT1F	MT1E	0.162124563882662	undirected	MT1F	MT1E
MT1F	MT1X	0.12837898379927	undirected	MT1F	MT1X
MT1F	MT1A	0.148377665281623	undirected	MT1F	MT1A
MT1F	MT2A	0.146462275695369	undirected	MT1F	MT2A
MT1F	CLEC4G	0.089462184323154	undirected	MT1F	CLEC4G
MT1F	ECM1	0.0731380116337536	undirected	MT1F	ECM1
MT1F	CRHBP	0.0759772186972292	undirected	MT1F	CRHBP
MT1F	ILF2	0.0751890134918326	undirected	MT1F	ILF2
MT1F	TGIF1	0.0700334246949195	undirected	MT1F	TGIF1
MT1H	MT1M	0.22458823553684	undirected	MT1H	MT1M
MT1H	MT1E	0.131658517717872	undirected	MT1H	MT1E
MT1H	MT1X	0.109821553825969	undirected	MT1H	MT1X
MT1H	MT1A	0.144430146313225	undirected	MT1H	MT1A
MT1H	MT2A	0.14557937041815	undirected	MT1H	MT2A
MT1H	SLC25A47	0.0738467994460106	undirected	MT1H	SLC25A47
MT1H	FCN2	0.0696331556467333	undirected	MT1H	FCN2
MT1H	CLEC4G	0.101072362904197	undirected	MT1H	CLEC4G
MT1H	ECM1	0.0799836394073197	undirected	MT1H	ECM1
MT1H	CRHBP	0.0864794142003417	undirected	MT1H	CRHBP
MT1H	PAMR1	0.0729769288684727	undirected	MT1H	PAMR1
MT1H	SSR2	0.0697838528629912	undirected	MT1H	SSR2
MT1H	ILF2	0.088481574994182	undirected	MT1H	ILF2
MT1H	P3H2	0.0714798426336246	undirected	MT1H	P3H2
MT1H	TGIF1	0.0804214903578377	undirected	MT1H	TGIF1
MT1H	RSPO3	0.0758029259168698	undirected	MT1H	RSPO3
MT1M	MT1E	0.184392484083306	undirected	MT1M	MT1E
MT1M	MT1X	0.14576484624708	undirected	MT1M	MT1X
MT1M	MT1A	0.158980387492783	undirected	MT1M	MT1A
MT1M	MT2A	0.160719198244982	undirected	MT1M	MT2A
CETP	CLEC4G	0.0951306408615115	undirected	CETP	CLEC4G
CETP	ECM1	0.0876205284540924	undirected	CETP	ECM1
CETP	CRHBP	0.0775386170451075	undirected	CETP	CRHBP
CETP	PAMR1	0.0723721047019395	undirected	CETP	PAMR1
CETP	ILF2	0.081764178522645	undirected	CETP	ILF2
CETP	P3H2	0.0798052939953787	undirected	CETP	P3H2
CETP	RSPO3	0.0850109701066807	undirected	CETP	RSPO3
IGFALS	CLEC4G	0.0945167329299334	undirected	IGFALS	CLEC4G
IGFALS	ECM1	0.090573020149416	undirected	IGFALS	ECM1
IGFALS	PTH1R	0.0760278501750844	undirected	IGFALS	PTH1R
IGFALS	CRHBP	0.0787358875099496	undirected	IGFALS	CRHBP
IGFALS	DBH	0.083436107639896	undirected	IGFALS	DBH
IGFALS	KDM8	0.0816124765538358	undirected	IGFALS	KDM8
IGFALS	PAMR1	0.0743182253604244	undirected	IGFALS	PAMR1
IGFALS	ILF2	0.0800241144766693	undirected	IGFALS	ILF2
IGFALS	P3H2	0.0711753842729784	undirected	IGFALS	P3H2
IGFALS	TGIF1	0.0791394240741061	undirected	IGFALS	TGIF1
IGFALS	RSPO3	0.0870677143984345	undirected	IGFALS	RSPO3
MT1E	MT1X	0.194349909400292	undirected	MT1E	MT1X
MT1E	MT1A	0.275979689693853	undirected	MT1E	MT1A
MT1E	MT2A	0.280220444195189	undirected	MT1E	MT2A
MT1E	SLC25A47	0.0693237601807156	undirected	MT1E	SLC25A47
MT1E	CLEC4G	0.0857429321070225	undirected	MT1E	CLEC4G
MT1E	ECM1	0.0714608863316492	undirected	MT1E	ECM1
MT1E	CRHBP	0.0743027081477945	undirected	MT1E	CRHBP
MT1E	ILF2	0.076984438043977	undirected	MT1E	ILF2
MT1X	MT1A	0.230126203433293	undirected	MT1X	MT1A
MT1X	MT2A	0.232547780233068	undirected	MT1X	MT2A
MT1X	SLC25A47	0.069780414307529	undirected	MT1X	SLC25A47
MT1X	CLEC4G	0.0780390450170864	undirected	MT1X	CLEC4G
MT1X	CRHBP	0.0695132473016604	undirected	MT1X	CRHBP
MT1X	ILF2	0.074069533718419	undirected	MT1X	ILF2
MT1A	MT2A	0.281562365943826	undirected	MT1A	MT2A
MT1A	CLEC4G	0.0731365963847884	undirected	MT1A	CLEC4G
MT2A	CLEC4G	0.0725948368082073	undirected	MT2A	CLEC4G
SERPINA11	SLC25A47	0.073306860903789	undirected	SERPINA11	SLC25A47
SERPINA11	CLEC4G	0.0889272195925463	undirected	SERPINA11	CLEC4G
SERPINA11	ECM1	0.0710859902782224	undirected	SERPINA11	ECM1
SERPINA11	CRHBP	0.081002037476794	undirected	SERPINA11	CRHBP
SERPINA11	DBH	0.0697529501542218	undirected	SERPINA11	DBH
SERPINA11	TGIF1	0.0746259723249893	undirected	SERPINA11	TGIF1
SERPINA11	RSPO3	0.070624982244034	undirected	SERPINA11	RSPO3
ZG16	CLEC4G	0.0796848142703632	undirected	ZG16	CLEC4G
ZG16	ECM1	0.0722188284298338	undirected	ZG16	ECM1
ZG16	DBH	0.0746731720806055	undirected	ZG16	DBH
ZG16	KDM8	0.0746771719217483	undirected	ZG16	KDM8
ZG16	ILF2	0.0799843451810368	undirected	ZG16	ILF2
ZG16	TGIF1	0.0828927122205212	undirected	ZG16	TGIF1
ZG16	RSPO3	0.0709358338459458	undirected	ZG16	RSPO3
RND3	CLEC4G	0.0803664320723643	undirected	RND3	CLEC4G
RND3	ECM1	0.0849241174184503	undirected	RND3	ECM1
RND3	C1QTNF1	0.0716306458385563	undirected	RND3	C1QTNF1
RND3	CRHBP	0.0691149017022424	undirected	RND3	CRHBP
RND3	P3H2	0.076893574582322	undirected	RND3	P3H2
RND3	RSPO3	0.0788592677219261	undirected	RND3	RSPO3
PGLYRP2	CLEC4G	0.0714354541894789	undirected	PGLYRP2	CLEC4G
PGLYRP2	TGIF1	0.0721824689333794	undirected	PGLYRP2	TGIF1
HSD17B13	SLC25A47	0.085377190748175	undirected	HSD17B13	SLC25A47
HSD17B13	FCN2	0.0776458010436839	undirected	HSD17B13	FCN2
HSD17B13	CLEC4G	0.11475274017204	undirected	HSD17B13	CLEC4G
HSD17B13	ECM1	0.0953544039484384	undirected	HSD17B13	ECM1
HSD17B13	CRHBP	0.101828644572004	undirected	HSD17B13	CRHBP
HSD17B13	DBH	0.0821091535561693	undirected	HSD17B13	DBH
HSD17B13	ATOH8	0.0724287086442594	undirected	HSD17B13	ATOH8
HSD17B13	KDM8	0.0827281801101714	undirected	HSD17B13	KDM8
HSD17B13	MARCO	0.0713588967967437	undirected	HSD17B13	MARCO
HSD17B13	RNF125	0.0703061538258889	undirected	HSD17B13	RNF125
HSD17B13	PAMR1	0.0844349909794487	undirected	HSD17B13	PAMR1
HSD17B13	STAB2	0.0753311490508829	undirected	HSD17B13	STAB2
HSD17B13	OIT3	0.0788048661840628	undirected	HSD17B13	OIT3
HSD17B13	ANGPTL6	0.0749812363745319	undirected	HSD17B13	ANGPTL6
HSD17B13	ILF2	0.086598095762014	undirected	HSD17B13	ILF2
HSD17B13	ADRA1A	0.0730691738003141	undirected	HSD17B13	ADRA1A
HSD17B13	FAM189B	0.0759963363724582	undirected	HSD17B13	FAM189B
HSD17B13	P3H2	0.0830963824717355	undirected	HSD17B13	P3H2
