"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"DUSP6",-1.43978430042412,10.9852970287193,-9.97895230935924,1.05188440406146e-18,1.82619882659058e-17,31.8098847312237,"Down"
"ADK",-0.891168668495551,10.6583657912858,-9.97569036598567,1.07380883887082e-18,1.86200532677321e-17,31.7894844143887,"Not Sig"
"ZNF7",0.702913504278267,8.08229943854166,9.97493527474617,1.07894856300532e-18,1.86744987667858e-17,31.7847622830427,"Not Sig"
"OXLD1",0.670516139088868,10.09816182957,9.974846226457,1.07955630656278e-18,1.86744987667858e-17,31.7842054056161,"Not Sig"
"VSIG10",0.616004646523121,7.68485777152329,9.9744802905062,1.08205735658867e-18,1.86951839787931e-17,31.7819169808806,"Not Sig"
"NAPSB",-1.15518077972579,7.75822169190966,-9.97422838482055,1.08378240160434e-18,1.87024281182878e-17,31.7803416704117,"Down"
"GIMAP8",-0.936454368414081,9.08841290276107,-9.96852171299006,1.12360408797857e-18,1.9366283215544e-17,31.7446572544392,"Not Sig"
"RPL38",0.588406729876127,14.1706890082443,9.96575848248693,1.14340664951702e-18,1.96839103858562e-17,31.7273803252177,"Not Sig"
"RTEL1",-0.543446580082886,8.51779953297944,-9.96267442460646,1.16591923860725e-18,2.00473724544678e-17,31.7080988628756,"Not Sig"
"SMAD6",-0.849625676183261,8.17011053292412,-9.96101098506749,1.17824454784851e-18,2.02350079842137e-17,31.6976996980161,"Not Sig"
"NUP107",0.540221912101613,9.16326808456532,9.9586216133475,1.19617614431178e-18,2.05183603772188e-17,31.682763057221,"Not Sig"
"KRT6B",-0.392622037015023,7.27808286321557,-9.95763861490994,1.20363197888206e-18,2.06215560209662e-17,31.676618316865,"Not Sig"
"SERF1A",0.327039317370044,7.00666179909341,9.95718243772493,1.20710769591093e-18,2.06563960914363e-17,31.6737667972289,"Not Sig"
"SH3PXD2B",0.388489223257223,7.09567234867544,9.95601995270109,1.21601020408014e-18,2.07839071038662e-17,31.6665003641289,"Not Sig"
"HNRNPA0",0.894210281382875,9.56351170337871,9.95501382320274,1.22376809963908e-18,2.08915738869255e-17,31.6602114469443,"Not Sig"
"ERLIN1",-0.689373411440679,8.48611536543638,-9.95168678897255,1.24977443999379e-18,2.13101420286083e-17,31.6394166144654,"Not Sig"
"CENPN",0.969500713065849,8.23438554521707,9.94888007751881,1.27214122535404e-18,2.16657298106373e-17,31.6218752996205,"Not Sig"
"ABCA8",-1.6449797375638,9.08548133085153,-9.94852950789162,1.27496279616036e-18,2.16879954030937e-17,31.6196844061676,"Down"
"CYP4F2",-1.83221834224202,9.94038768721936,-9.94776519313685,1.28113603933928e-18,2.17671547941358e-17,31.6149078700699,"Down"
"DPY30",0.72134735639017,10.8726358137795,9.94757604275932,1.28266836620619e-18,2.17673684942787e-17,31.6137258012215,"Not Sig"
"TNFRSF1A",-0.774274824151178,10.7116105165646,-9.94422396283413,1.31012880912249e-18,2.22070709266999e-17,31.5927783892973,"Not Sig"
"YWHAQ",0.755257310403497,12.2942770251249,9.9413431135444,1.33419634765726e-18,2.25830480654734e-17,31.5747771627331,"Not Sig"
"RPL29",0.870042878037038,7.71063453331426,9.94119289183036,1.3354633604312e-18,2.25830480654734e-17,31.5738385260942,"Not Sig"
"AGBL5",0.759864635758026,8.63605223288421,9.93889044304614,1.35503352007091e-18,2.2886963570726e-17,31.5594524886214,"Not Sig"
"CDCA8",0.739889790807086,7.52167315584503,9.93831598184852,1.35996064529251e-18,2.29431287662245e-17,31.5558633025779,"Not Sig"
"SEC23B",0.854154858326904,9.43137275784743,9.93807998656907,1.36198993334159e-18,2.29503315473548e-17,31.5543888388441,"Not Sig"
"MTCH1",0.581164901684154,11.8337049943277,9.93624994713328,1.37782889999262e-18,2.31899451640355e-17,31.5429553236916,"Not Sig"
"ZWINT",0.923772338355955,7.57908360370649,9.93593553026472,1.38056858526968e-18,2.32087838577672e-17,31.5409909990446,"Not Sig"
"MITD1",0.59800842290301,8.68327755609867,9.93186574713943,1.41652441791845e-18,2.37853214980609e-17,31.5155663859984,"Not Sig"
"MGMT",-0.897205055478398,11.5743364453908,-9.92914222736686,1.44110573853772e-18,2.41697394532503e-17,31.4985535836756,"Not Sig"
"LIFR",-0.704417943963564,7.44358591878375,-9.92786018361968,1.45282355425369e-18,2.43158157927209e-17,31.4905455503092,"Not Sig"
"ZADH2",-0.700900922441855,8.57457455533181,-9.92781799095267,1.45321080210634e-18,2.43158157927209e-17,31.4902820066133,"Not Sig"
"SKAP1",-1.66030737647458,9.60568234709032,-9.91541551085681,1.57161653663447e-18,2.62663519885828e-17,31.4128260653922,"Down"
