"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070279","vitamin B6 binding","24/1487","57/18496",0.421052631578947,5.23724914168407,9.47318475873409,2.48734077740899e-12,2.84009092402335e-10,2.84009092402335e-10,"CBS/GPT2/SDSL/CSAD/AADAT/GCAT/KYNU/DDC/AGXT/SDS/GLDC/ABAT/AGXT2/ETNPPL/GOT2/SHMT1/PDXK/GOT1/CTH/TAT/ALAS1/PSAT1/GPT/OAT",24
"GO:0043177","organic acid binding","49/1487","207/18496",0.236714975845411,2.94437134716659,8.31788031080387,3.89057640189383e-12,4.07213663398221e-10,4.07213663398221e-10,"GNMT/ACOX2/DBT/PCK1/ACACB/FTCD/RXRA/AGXT/DBH/DDAH1/RBP5/GLDC/CPS1/PLA2G1B/SERPINA5/HBB/NR2F2/FABP1/MDK/AKR1C3/CYP4F11/P3H2/MTHFS/PC/GRHPR/OTC/GSTM2/RBP1/SHMT1/PCCA/TYMS/AKR1C4/HBA2/ASS1/P4HA2/CYP26A1/TDO2/PLOD2/TAT/P4HTM/GLUD1/FABP5/FURIN/TM4SF5/SCP2/SLC1A1/AMBP/FABP4/HBA1",49
"GO:0046906","tetrapyrrole binding","40/1487","151/18496",0.264900662251656,3.29495806927143,8.37235494943961,8.72681391661668e-12,8.43144483020812e-10,8.43144483020812e-10,"STEAP3/CBS/CYP4F2/CYP2E1/CYP2D6/CYP2C18/CYP1A1/CYGB/CYP2A7/HBB/PTGS2/CYP4V2/HRG/CYP4A11/CYP8B1/CYP2D7/CYP4F12/CYP7A1/CAT/CYP4F11/CYP4F3/CYP1A2/CYP11A1/HBA2/CYP39A1/CYP3A4/CYP2C9/CYP17A1/CYP27A1/CYP2B6/CYP2J2/CYP26A1/TDO2/STC2/CYP4X1/CYP4A22/CYP2A6/AMBP/CYP2C8/HBA1",40
"GO:0031406","carboxylic acid binding","46/1487","195/18496",0.235897435897436,2.93420240373838,8.02832740727971,2.00939384995414e-11,1.80271333967314e-09,1.80271333967314e-09,"GNMT/ACOX2/DBT/PCK1/ACACB/FTCD/RXRA/AGXT/DBH/DDAH1/RBP5/GLDC/CPS1/PLA2G1B/SERPINA5/NR2F2/FABP1/MDK/AKR1C3/CYP4F11/P3H2/MTHFS/PC/GRHPR/OTC/GSTM2/RBP1/SHMT1/PCCA/TYMS/AKR1C4/ASS1/P4HA2/CYP26A1/TDO2/PLOD2/TAT/P4HTM/GLUD1/FABP5/FURIN/TM4SF5/SCP2/SLC1A1/AMBP/FABP4",46
"GO:0008391","arachidonic acid monooxygenase activity","13/1487","18/18496",0.722222222222222,8.98333706941643,10.0192796616048,3.25803246863079e-11,2.72805918706685e-09,2.72805918706685e-09,"CYP4F2/CYP2E1/CYP2C18/CYP1A1/CYP2A7/CYP4A11/CYP4F12/CYP2C9/CYP2B6/CYP2J2/CYP4A22/CYP2A6/CYP2C8",13
"GO:0008514","organic anion transmembrane transporter activity","51/1487","242/18496",0.210743801652893,2.62132976151439,7.5066000297034,1.37913205385888e-10,1.08261866227922e-08,1.08261866227922e-08,"SLC2A2/SLC4A4/SLC43A3/ABCB11/SLC1A2/ABCC2/SLC38A4/SLC7A2/MFSD2A/SLC2A6/SLC26A6/MPC1/SLC17A3/SLC51B/SLC39A14/SLC25A42/SLC22A1/SLC23A3/SLC38A6/SLC26A3/SLC27A5/SLC7A10/SLC47A1/SLC7A5/ABCC4/SLC6A12/SLC25A47/SLC10A1/SLC16A2/SLC6A1/SLC13A5/SLC38A1/SLC2A1/SLCO1B1/AKR1C4/GJA1/SLC38A2/SLC25A15/SLC27A2/SLC25A25/SLC7A1/SLC22A11/SLC2A10/SLCO2B1/SLC16A10/CEACAM1/ABCC3/SLC22A7/SLC38A3/SLC1A1/SLCO1B3",51
"GO:0050660","flavin adenine dinucleotide binding","27/1487","88/18496",0.306818181818182,3.81634774102831,7.83010474760622,5.97058700314657e-10,4.41121016232476e-08,4.41121016232476e-08,"STEAP3/FMO3/ACOX2/DAO/QSOX1/ETFDH/ACADS/KMO/PRODH/CRY2/PIPOX/ACADSB/POR/AOX1/GCDH/FMO4/XDH/TXNRD1/ACADL/IVD/LDHD/CHDH/SQLE/PRODH2/NQO2/FMO1/ACAD11",27
"GO:0005319","lipid transporter activity","40/1487","172/18496",0.232558139534884,2.89266667709295,7.37346255814269,6.41687939225864e-10,4.47755584259825e-08,4.47755584259825e-08,"SLC43A3/ABCB11/CETP/MFSD2A/ABCA6/SLC51B/APOC4/ABCG8/RBP4/ATP9A/ATP11C/APOM/ABCA8/SLC22A1/APOA4/APOF/SLC27A5/MTTP/ABCC4/FABP1/SLC10A1/GLTPD2/SLC2A1/SLCO1B1/ABCB4/AKR1C4/GRAMD1A/SLC27A2/SLC22A11/SLCO2B1/CEACAM1/ABCC3/FABP5/SLC22A7/CIDEC/STARD5/TMEM30B/FABP4/CIDEB/SLCO1B3",40
"GO:0008483","transaminase activity","14/1487","25/18496",0.56,6.96554135843981,8.82506520003598,8.49503417115535e-10,5.61566469419532e-08,5.61566469419532e-08,"GPT2/AADAT/AGXT/BCAT1/ABAT/AGXT2/ETNPPL/GOT2/BCAT2/GOT1/TAT/PSAT1/GPT/OAT",14
"GO:0016829","lyase activity","43/1487","196/18496",0.219387755102041,2.72884728874738,7.19452929844865,1.03736131524632e-09,6.5146290597469e-08,6.5146290597469e-08,"CBS/ME1/TKFC/CLYBL/PCK1/SDSL/FTCD/CSAD/ODC1/HACD2/PCK2/DDC/EHHADH/CYP1A1/SDS/FH/GLDC/NPL/GGACT/ECHS1/HAL/CA12/CA2/ACMSD/ETNPPL/TGDS/CA4/CYP1A2/NTHL1/FAHD1/GOT1/CYP17A1/CA5A/CTH/ECHDC2/ECHDC3/AZIN1/ALDOB/ENO3/ALAD/HMGCL/HOGA1/NPR2",43
