"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042579","microbody","35/1519","143/19886",0.244755244755245,3.20421513969901,7.60743059065612,4.58916281419077e-10,3.17486627418107e-08,3.17486627418107e-08,"HAO1/ACOX2/DAO/ALDH3A2/DHRS4L2/NUDT7/TKT/HMGCR/ACSL4/BAAT/EHHADH/AGXT/ECH1/MFF/PIPOX/DECR2/FABP1/CAT/DHRS4/RIDA/ACAA1/GRHPR/IDI1/XDH/PECR/EPHX2/FNDC5/ACSL1/SLC27A2/IDH2/HAO2/HMGCL/SCP2/ACAD11/PEX11G",35
"GO:0034364","high-density lipoprotein particle","14/1519","26/19886",0.538461538461538,7.04927330733782,8.87611315227224,8.7402134051262e-10,5.5427520010842e-08,5.5427520010842e-08,"PLA2G7/CETP/LCAT/APOC4/LIPC/APOM/APOA5/APOA4/SAA4/APOF/SAA1/SAA2/PON1/HPR",14
"GO:0034358","plasma lipoprotein particle","16/1519","36/19886",0.444444444444444,5.81844780923122,8.32148291264719,2.08994561256005e-09,1.13603472225585e-07,1.13603472225585e-07,"PLA2G7/CETP/LCAT/APOC4/LIPC/APOM/APOA5/APOA4/SAA4/APOF/SAA1/SAA2/LDLR/LPA/PON1/HPR",16
"GO:1990777","lipoprotein particle","16/1519","36/19886",0.444444444444444,5.81844780923122,8.32148291264719,2.08994561256005e-09,1.13603472225585e-07,1.13603472225585e-07,"PLA2G7/CETP/LCAT/APOC4/LIPC/APOM/APOA5/APOA4/SAA4/APOF/SAA1/SAA2/LDLR/LPA/PON1/HPR",16
"GO:0032994","protein-lipid complex","16/1519","39/19886",0.41025641025641,5.37087490082882,7.85734489873851,8.65163170546505e-09,4.38926115190593e-07,4.38926115190593e-07,"PLA2G7/CETP/LCAT/APOC4/LIPC/APOM/APOA5/APOA4/SAA4/APOF/SAA1/SAA2/LDLR/LPA/PON1/HPR",16
"GO:0005782","peroxisomal matrix","18/1519","51/19886",0.352941176470588,4.62053208380126,7.44498723792965,1.73047046929058e-08,7.74640015958899e-07,7.74640015958899e-07,"HAO1/ACOX2/DAO/NUDT7/BAAT/EHHADH/AGXT/ECH1/PIPOX/FABP1/CAT/DHRS4/ACAA1/GRHPR/EPHX2/HAO2/HMGCL/SCP2",18
"GO:0031907","microbody lumen","18/1519","51/19886",0.352941176470588,4.62053208380126,7.44498723792965,1.73047046929058e-08,7.74640015958899e-07,7.74640015958899e-07,"HAO1/ACOX2/DAO/NUDT7/BAAT/EHHADH/AGXT/ECH1/PIPOX/FABP1/CAT/DHRS4/ACAA1/GRHPR/EPHX2/HAO2/HMGCL/SCP2",18
"GO:0005903","brush border","27/1519","108/19886",0.25,3.27287689269256,6.81113010925666,2.70245777231395e-08,1.14253909151718e-06,1.14253909151718e-06,"SLC2A2/CDHR2/CLIC1/KCNK1/DCXR/SLC17A4/MME/SLC26A6/SLC22A12/SLC17A3/VIL1/ITLN1/HSP90AA1/SLC26A3/MTTP/ACE2/AQP8/CA4/ENPEP/MYO1B/SLC20A2/SLC38A2/CDHR5/ITPR3/ESPN/SOAT2/EZR",27
"GO:0031983","vesicle lumen","54/1519","326/19886",0.165644171779141,2.16853192890059,6.11769089603314,5.22296531921144e-08,2.09193505679995e-06,2.09193505679995e-06,"SERPINE1/S100P/TTR/QSOX1/PKM/CHI3L1/SERPING1/FGG/SPP2/SERPINA3/SDCBP/LGALS3BP/DBH/EGFR/CDA/HSP90AA1/LCN2/FGA/SERPINA4/SERPINF2/HRG/AHSG/VAT1/GSN/GAS6/KNG1/CAT/NEU1/ECM1/QPCT/ACAA1/PDXK/PDGFA/LRG1/VEGFB/IGF2/HSP90AB1/ORM2/IGF1/RARRES2/GLA/FABP5/GGH/ILF2/PNP/ALAD/CTSA/CLEC3B/PLAC8/FGB/PLG/PROS1/A2M/ARG1",54
"GO:0031093","platelet alpha granule lumen","20/1519","67/19886",0.298507462686567,3.90791270769261,6.85646825285601,7.17955765396669e-08,2.67117675235175e-06,2.67117675235175e-06,"SERPINE1/QSOX1/SERPING1/FGG/SERPINA3/FGA/SERPINF2/HRG/AHSG/GAS6/KNG1/PDGFA/VEGFB/IGF2/ORM2/IGF1/FGB/PLG/PROS1/A2M",20
"GO:0045121","membrane raft","49/1519","286/19886",0.171328671328671,2.24295059778931,6.08879594964634,7.37118420491285e-08,2.67117675235175e-06,2.67117675235175e-06,"SERPINH1/SLC1A2/TNFRSF1B/PPT1/LYN/ATP2B4/RFTN1/PAG1/MME/TRPM8/PLVAP/SDCBP/ARID3A/ERLIN2/EGFR/ITLN1/CDH1/FYN/PLPP3/RGMB/CD14/PTGS2/PODXL/ACE2/IRS1/ADCYAP1R1/ADRA1B/SKAP1/SORBS1/PPP2R1B/THY1/HDAC6/SLC2A1/KCNMA1/ABCB4/GJA1/BST2/CD4/ADRA1A/STOM/CDH15/S100A10/EZR/CD24/FURIN/SLC1A1/PLCG2/MAL2/FXYD1",49
"GO:0098857","membrane microdomain","49/1519","287/19886",0.170731707317073,2.23513543891199,6.06123533448774,8.24319141218094e-08,2.83707448905233e-06,2.83707448905233e-06,"SERPINH1/SLC1A2/TNFRSF1B/PPT1/LYN/ATP2B4/RFTN1/PAG1/MME/TRPM8/PLVAP/SDCBP/ARID3A/ERLIN2/EGFR/ITLN1/CDH1/FYN/PLPP3/RGMB/CD14/PTGS2/PODXL/ACE2/IRS1/ADCYAP1R1/ADRA1B/SKAP1/SORBS1/PPP2R1B/THY1/HDAC6/SLC2A1/KCNMA1/ABCB4/GJA1/BST2/CD4/ADRA1A/STOM/CDH15/S100A10/EZR/CD24/FURIN/SLC1A1/PLCG2/MAL2/FXYD1",49
"GO:0034774","secretory granule lumen","53/1519","322/19886",0.164596273291925,2.15481335792181,6.00804918215954,8.57460095245777e-08,2.83707448905233e-06,2.83707448905233e-06,"SERPINE1/S100P/TTR/QSOX1/PKM/CHI3L1/SERPING1/FGG/SPP2/SERPINA3/SDCBP/LGALS3BP/DBH/CDA/HSP90AA1/LCN2/FGA/SERPINA4/SERPINF2/HRG/AHSG/VAT1/GSN/GAS6/KNG1/CAT/NEU1/ECM1/QPCT/ACAA1/PDXK/PDGFA/LRG1/VEGFB/IGF2/HSP90AB1/ORM2/IGF1/RARRES2/GLA/FABP5/GGH/ILF2/PNP/ALAD/CTSA/CLEC3B/PLAC8/FGB/PLG/PROS1/A2M/ARG1",53
"GO:0060205","cytoplasmic vesicle lumen","53/1519","325/19886",0.163076923076923,2.13492277307946,5.93246297038306,1.16855267794251e-07,3.70528578297603e-06,3.70528578297603e-06,"SERPINE1/S100P/TTR/QSOX1/PKM/CHI3L1/SERPING1/FGG/SPP2/SERPINA3/SDCBP/LGALS3BP/DBH/CDA/HSP90AA1/LCN2/FGA/SERPINA4/SERPINF2/HRG/AHSG/VAT1/GSN/GAS6/KNG1/CAT/NEU1/ECM1/QPCT/ACAA1/PDXK/PDGFA/LRG1/VEGFB/IGF2/HSP90AB1/ORM2/IGF1/RARRES2/GLA/FABP5/GGH/ILF2/PNP/ALAD/CTSA/CLEC3B/PLAC8/FGB/PLG/PROS1/A2M/ARG1",53
"GO:0098862","cluster of actin-based cell projections","31/1519","165/19886",0.187878787878788,2.45961657390229,5.41425695736482,2.49807137705163e-06,7.60412927174517e-05,7.60412927174517e-05,"SLC2A2/CDHR2/CLIC1/KCNK1/DCXR/SLC17A4/MME/SLC26A6/SLC22A12/SLC17A3/VIL1/ADGRV1/ITLN1/USH2A/HSP90AA1/CDH23/SLC26A3/MTTP/ACE2/AQP8/CA4/ENPEP/MYO1B/SLC20A2/RHOC/SLC38A2/CDHR5/ITPR3/ESPN/SOAT2/EZR",31
"GO:0031091","platelet alpha granule","21/1519","91/19886",0.230769230769231,3.02111713171621,5.55721242479424,3.73294845502679e-06,0.000105831825672954,0.000105831825672954,"SERPINE1/QSOX1/SERPING1/FGG/SERPINA3/SERPINA5/FGA/SERPINF2/HRG/AHSG/GAS6/KNG1/PDGFA/VEGFB/IGF2/ORM2/IGF1/FGB/PLG/PROS1/A2M",21
"GO:0071162","CMG complex","7/1519","11/19886",0.636363636363636,8.33095936321743,6.99400853012656,3.7548742354399e-06,0.000105831825672954,0.000105831825672954,"MCM6/MCM4/MCM2/MCM7/GINS2/MCM3/CDC45",7
"GO:0031261","DNA replication preinitiation complex","7/1519","13/19886",0.538461538461538,7.04927330733782,6.27430661217172,1.70250489278157e-05,0.00044676076669199,0.00044676076669199,"MCM6/MCM4/MCM2/MCM7/GINS2/MCM3/CDC45",7
"GO:1905286","serine-type peptidase complex","7/1519","13/19886",0.538461538461538,7.04927330733782,6.27430661217172,1.70250489278157e-05,0.00044676076669199,0.00044676076669199,"F7/FCN3/COLEC10/COLEC11/CFH/FCN2/MBL2",7
"GO:0031526","brush border membrane","15/1519","60/19886",0.25,3.27287689269256,5.07056739239695,3.26861481131648e-05,0.000829138623803946,0.000829138623803946,"CDHR2/KCNK1/SLC17A4/SLC26A6/SLC22A12/SLC17A3/ITLN1/HSP90AA1/SLC26A3/MTTP/ACE2/AQP8/CA4/SLC20A2/CDHR5",15
"GO:1905370","serine-type endopeptidase complex","6/1519","11/19886",0.545454545454545,7.14082231132922,5.85857341440487,6.49658143977427e-05,0.00159480595989297,0.00159480595989297,"FCN3/COLEC10/COLEC11/CFH/FCN2/MBL2",6
"GO:0005581","collagen trimer","18/1519","86/19886",0.209302325581395,2.74008297992866,4.65060186261248,7.23948947575434e-05,0.00172164109095283,0.00172164109095283,"GLDN/C1QTNF3/FCN3/COLEC10/MARCO/SCARA3/COLEC11/COL15A1/LOX/CTHRC1/C1QTNF1/COL22A1/FCN2/COL4A1/MBL2/COL2A1/COLEC12/COL18A1",18
"GO:0046930","pore complex","9/1519","26/19886",0.346153846153846,4.53167569757432,5.18203617462196,8.17882032644533e-05,0.00188608553588633,0.00188608553588633,"SPG7/C8B/C9/C6/CD34/C8G/C5/TOMM40L/C8A",9
"GO:0042827","platelet dense granule","8/1519","21/19886",0.380952380952381,4.98724097934104,5.25727165353915,9.38543509352915e-05,0.00210068120769873,0.00210068120769873,"SPP2/LGALS3BP/SERPINA4/ABCC4/ECM1/RAB27B/RARRES2/CLEC3B",8
"GO:0005796","Golgi lumen","20/1519","106/19886",0.188679245283019,2.47009576806986,4.36423359400713,0.000136130693751671,0.00295987022700061,0.00295987022700061,"F7/GPC3/PCSK6/F2/GPC6/MMP11/GAS6/DEFB1/F9/ZG16/MUC13/PROC/GPC5/PDGFA/SDC4/PROZ/FURIN/F10/PROS1/SDC1",20
"GO:0071682","endocytic vesicle lumen","8/1519","23/19886",0.347826086956522,4.55356785070269,4.90375405703288,0.000196974656818861,0.00416382538442093,0.00416382538442093,"HPX/HSP90AA1/HBB/SAA1/HSPH1/HBA2/HYOU1/HBA1",8
"GO:0031089","platelet dense granule lumen","6/1519","14/19886",0.428571428571429,5.61064610175868,4.96280931430306,0.000345543322527253,0.00710698563360107,0.00710698563360107,"SPP2/LGALS3BP/SERPINA4/ECM1/RARRES2/CLEC3B",6
"GO:0045171","intercellular bridge","17/1519","92/19886",0.184782608695652,2.41908292068581,3.92335381600572,0.000541994634423752,0.0108541557051704,0.0108541557051704,"KLHDC8B/QSOX1/CEP55/TUBB2B/GSTM1/NUPR1/FAM83D/TUBB2A/CD34/ACOT12/GSTM2/PRC1/TPX2/KIF20A/CDC7/TUBB4A/FLNC",17
"GO:0031528","microvillus membrane","9/1519","33/19886",0.272727272727273,3.57041115566461,4.24980563117508,0.000619875236564117,0.0120955142314178,0.0120955142314178,"S100P/SLC38A4/CDHR2/PODXL/MTTP/SLC7A5/CDHR5/CEACAM1/EZR",9
"GO:0005902","microvillus","17/1519","97/19886",0.175257731958763,2.29438792477417,3.67503066515328,0.00101154866454232,0.0192447133429177,0.0192447133429177,"S100P/SLC38A4/CDHR2/DCXR/STARD10/VIL1/PODXL/MTTP/SLC7A5/IQGAP2/MYO1B/PDGFA/CDHR5/ESPN/CD302/CEACAM1/EZR",17
"GO:0009897","external side of plasma membrane","47/1519","387/19886",0.121447028423773,1.58992469205737,3.37029921301174,0.00107260841533659,0.0199086586358816,0.0199086586358816,"NRCAM/LEPR/FCN3/COLEC10/STAB2/ASGR2/TRPM8/FGG/SCNN1A/ACKR2/F2/SERPINA5/CD14/TFR2/COLEC11/FGA/CD34/CD1D/CD163L1/CLEC4G/SLC7A5/ABCC4/CXCL12/FCN2/CA4/LDLR/PCSK9/GFRA1/ENPEP/TFRC/MBL2/THY1/SLC38A1/GHR/IL13RA2/CD79B/TGFBR3/CD4/AZGP1/CSF3R/SLC22A11/CD302/F10/ANPEP/FGB/PLG/SDC1",47
"GO:0005604","basement membrane","16/1519","90/19886",0.177777777777778,2.32737912369249,3.62952746209959,0.00120147576639396,0.0217695966244238,0.0217695966244238,"LAMB2/THBS4/SMOC1/ANG/USH2A/COL15A1/P3H2/LAMC1/COL4A1/LAMA3/SERPINF1/LAMB1/COL2A1/NTN4/COL18A1/FRAS1",16
"GO:0031253","cell projection membrane","43/1519","352/19886",0.122159090909091,1.59924666347477,3.26215007056386,0.00152413030999732,0.0269735619978595,0.0269735619978595,"S100P/SLC1A2/SLC38A4/CDHR2/MAPRE1/KCNK1/ERBB2/ARHGEF2/FAM107A/SLC17A4/SLC26A6/SLC22A12/PSD3/SLC17A3/AIF1L/TESC/ADGRV1/EGFR/ITLN1/SCNN1A/USH2A/HSP90AA1/SLC26A3/PODXL/MTTP/ACE2/SLC7A5/EVC2/AQP8/CA4/NME1/THY1/SLC20A2/SH3YL1/CNTNAP2/GPER1/CDHR5/KCNB1/CNGA1/CEACAM1/EZR/PLCG2/SPRY2",43
"GO:0072686","mitotic spindle","26/1519","184/19886",0.141304347826087,1.84988693934797,3.33071506200295,0.00170703825732917,0.0295240025869887,0.0295240025869887,"KIF22/NUSAP1/IKBKG/MAPRE1/TUBB2B/CKAP2L/TUBG1/FAM83D/ODAM/RACGAP1/TUBB2A/TPR/CDC14B/PRC1/AURKA/ASPM/TPX2/MAD2L1/CDC7/TUBB4A/NEDD9/AURKB/DLGAP5/KIFC1/CDK1/ECT2",26
"GO:0005811","lipid droplet","17/1519","104/19886",0.163461538461538,2.13995796829898,3.35191487760729,0.00221787505951409,0.0375067315620049,0.0375067315620049,"DGAT2/HILPDA/ACSL4/G0S2/HSD17B13/PNPLA7/LSS/RBP1/IRAK1/HSD3B7/CHKA/CKAP4/CIDEC/PLA2G4C/FABP4/CIDEB/PLIN2",17
"GO:0035580","specific granule lumen","12/1519","62/19886",0.193548387096774,2.53384017498779,3.47858708837719,0.0022728532890726,0.0376008989779185,0.0376008989779185,"QSOX1/CHI3L1/LCN2/NEU1/QPCT/ACAA1/PDXK/LRG1/ORM2/GGH/ILF2/ARG1",12
"GO:1904724","tertiary granule lumen","11/1519","55/19886",0.2,2.61830151415405,3.45613779682326,0.00260670409574949,0.0422064216354333,0.0422064216354333,"QSOX1/CDA/HBB/QPCT/LRG1/PGM1/FTH1/PRSS3/GGH/MMP9/ILF2",11
"GO:0005901","caveola","14/1519","81/19886",0.172839506172839,2.26272970358992,3.27482467701371,0.00310913650712675,0.0492927683734053,0.0492927683734053,"ATP2B4/PLVAP/CDH1/PTGS2/IRS1/ADCYAP1R1/ADRA1B/SORBS1/HDAC6/SLC2A1/KCNMA1/ADRA1A/CDH15/FXYD1",14
