MODULE	GENE
red	COL1A1
red	PTGDS
red	FOS
red	C7
red	COL1A2
red	DCN
red	ESM1
red	EGR1
red	EPCAM
red	TACSTD2
red	CCL19
red	DPYSL3
red	SPINT2
red	SERPINE2
red	ID1
red	NNMT
red	FBLN1
red	ADAMTSL2
red	COL5A1
red	THBS2
red	INMT
red	LY6E
red	AEBP1
red	C11orf96
red	COLEC11
red	SERPINE1
red	MFGE8
red	SLC2A3
red	MGP
red	PROM1
red	LUM
red	COL6A3
red	BGN
red	CXCL12
red	COL3A1
red	SRPX
red	FSTL1
red	CYBRD1
red	ISLR
red	CXCL14
red	PRSS23
red	THBS1
red	CYR61
red	MFAP4
red	TIMP2
red	PTRF
red	CCL21
red	AXL
red	PDGFRA
red	EFEMP1
red	CSRNP1
red	FSTL3
red	IFITM1
red	TAGLN
red	SEPW1
red	CTGF
red	RND1
red	FHL2
red	GADD45B
red	SGK1
red	KRT19
red	COL5A2
red	SUSD2
red	DKK3
red	DUSP5
red	FAM107A
red	VCAN
red	CRISPLD2
red	PFKFB3
red	CHST4
red	ALDH1A3
red	COL6A1
red	SDCBP2
red	CDH11
red	ZFP36
red	TMEM154
red	MXRA5
red	ATF3
red	SVEP1
red	FBLN2
red	IGFBP7
red	APLNR
red	KRT7
red	ANTXR1
red	DPT
red	PDGFRB
red	SERTAD1
red	IGFBP6
red	SLCO2A1
red	MXRA7
red	CLDN11
red	OLFM1
red	MOXD1
red	NKD2
red	KRTCAP3
red	SOCS3
red	LAMC3
red	FOXC1
red	FAM150B
red	BHLHE40
red	SCGB3A1
red	ETS2
red	COL6A2
red	TTYH1
red	ENG
red	FBLN5
red	SH3YL1
red	KLF2
red	ABI3BP
red	GRAP
red	PPP1R15A
red	PMP22
red	ETS1
red	CEACAM6
red	ADAMTS1
red	ACTA2
red	PLEKHA4
red	JUNB
red	CCDC3
red	CLDN10
red	PRICKLE1
red	PODN
red	BCL3
red	NCK2
red	STMN2
red	SYTL2
red	PMEPA1
red	CFTR
red	CHSY1
red	ID3
red	SULF1
red	SPRY1
red	EDN1
red	MIDN
red	FCGR2B
red	DSE
red	RGL1
red	GIMAP8
red	RAB25
red	RCAN2
red	MYH10
red	SCTR
red	GPX8
red	LRRC32
red	NXN
red	EFEMP2
red	TEK
red	MYADM
red	RAMP3
red	TMEM38B
red	LTBP4
red	ADGRF5
red	FAM129B
red	ITPRIP
red	LDB2
red	ERBB3
red	HEYL
red	SIRPA
red	CDH5
red	MMRN1
red	CLEC14A
red	RGS4
red	MMP23B
red	HNF1B
red	LIMCH1
red	C1QTNF5
red	GLIS3
red	LTBP2
red	SMOC2
red	GAS1
red	CDH6
red	CRIP2
red	PRKCDBP
red	GUCY1A3
red	HES1
